measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44561,Asia,2,Female,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,111.1998677,123.8931525,94.68557212
1,Deaths,44561,Asia,1,Male,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,13305.7666,14345.00344,12100.23269
1,Deaths,44561,Asia,2,Female,31,85-89 years,441,Colon and rectum cancer,1,Number,2011,14090.31726,15872.89998,11237.79118
1,Deaths,44561,Asia,1,Male,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,249.0602836,268.5129487,226.494833
1,Deaths,44561,Asia,2,Female,31,85-89 years,441,Colon and rectum cancer,3,Rate,2011,160.8378316,181.1856162,128.276882
1,Deaths,44561,Asia,1,Male,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,4584.712713,4991.070157,4006.679669
1,Deaths,44561,Asia,2,Female,32,90-94 years,441,Colon and rectum cancer,1,Number,2011,7213.565247,8321.255847,5311.370881
1,Deaths,44561,Asia,1,Male,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,313.6735798,341.4754515,274.1261305
1,Deaths,44561,Asia,2,Female,32,90-94 years,441,Colon and rectum cancer,3,Rate,2011,235.9744644,272.2099024,173.7487437
1,Deaths,44561,Asia,1,Male,235,95+ years,441,Colon and rectum cancer,1,Number,2011,1007.573389,1113.11739,796.4459861
1,Deaths,44561,Asia,2,Female,235,95+ years,441,Colon and rectum cancer,1,Number,2011,3084.562164,3665.130477,2056.010309
1,Deaths,44561,Asia,1,Male,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,297.0667203,328.184662,234.8192196
1,Deaths,44561,Asia,2,Female,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,354.2975352,420.982501,236.1564935
1,Deaths,44559,Africa,1,Male,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,315.5858329,359.603772,277.6261459
1,Deaths,44559,Africa,2,Female,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,237.5660039,272.7214869,202.724304
1,Deaths,44559,Africa,1,Male,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,0.896339913,1.021361481,0.788525243
1,Deaths,44559,Africa,2,Female,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,0.641383367,0.736296535,0.547317354
1,Deaths,44559,Africa,1,Male,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,442.2309694,502.5276818,390.8009834
1,Deaths,44559,Africa,2,Female,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,407.0588598,466.5465455,353.3415973
1,Deaths,44559,Africa,1,Male,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,1.512647065,1.718891429,1.336731259
1,Deaths,44559,Africa,2,Female,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,1.353005504,1.550734073,1.174456996
1,Deaths,44559,Africa,1,Male,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,639.5775368,725.7648654,561.7040364
1,Deaths,44559,Africa,2,Female,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,562.916342,644.9611266,487.562178
1,Deaths,44559,Africa,1,Male,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,2.664254258,3.023280247,2.339860744
1,Deaths,44559,Africa,2,Female,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,2.314792087,2.652171915,2.004925044
1,Deaths,44559,Africa,1,Male,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,1003.923862,1136.019584,875.8735948
1,Deaths,44559,Africa,2,Female,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,940.4546695,1083.084433,816.4818551
1,Deaths,44559,Africa,1,Male,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,5.11710405,5.790409648,4.464418557
1,Deaths,44559,Africa,2,Female,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,4.724939005,5.441525304,4.102087095
1,Deaths,44559,Africa,1,Male,15,50-54 years,441,Colon and rectum cancer,1,Number,2011,1611.35575,1815.114677,1421.101467
